和文,英文
こんにちは。,Hello.
今日はいい天気ですね。,It's a nice day today.
お名前は何ですか？,What's your name?
私は学生です。,I am a student.
どこに住んでいますか？,Where do you live?
これは何ですか？,What is this?
私は日本に行きたいです。,I want to go to Japan.
英語を勉強しています。,I am studying English.
趣味は何ですか？,What is your hobby?
音楽が好きです。,I like music.
これはとても面白いです。,This is very interesting.
それは本当ですか？,Is that true?
はい、そうです。,"Yes, it is."
いいえ、違います。,"No, it's not."
少し日本語が話せます。,I can speak a little Japanese.
旅行が好きです。,I like traveling.
私は兄が二人います。,I have two older brothers.
今、何時ですか？,What time is it now?
お腹がすきました。,I'm hungry.
疲れました。,I'm tired.
助けてください。,Please help me.
分かりました。,I understand.
分かりません。,I don't understand.
もう一度言ってください。,Please say it again.
ゆっくり話してください。,Please speak slowly.
これはいくらですか？,How much is this?
トイレはどこですか？,Where is the bathroom?
大丈夫です。,It's okay.
問題ありません。,No problem.
おめでとうございます！,Congratulations!
誕生日おめでとう！,Happy Birthday!
メリークリスマス！,Merry Christmas!
明けましておめでとうございます。,Happy New Year.
良い一日を！,Have a nice day!
行ってきます。,I'm leaving now.
行ってらっしゃい。,Take care.
ただいま。,I'm home.
おかえりなさい。,Welcome back.
おやすみなさい。,Good night.
おはようございます。,Good morning.
いただきます。,Let's eat.
ごちそうさまでした。,Thank you for the meal.
すみません。,Excuse me.
ありがとう。,Thank you.
どういたしまして。,You're welcome.
ごめんなさい。,I'm sorry.
よろしくお願いします。,Nice to meet you.
初めまして。,Nice to meet you.
さようなら。,Goodbye.
また会いましょう。,See you again.
電話番号を教えてください。,Please tell me your phone number.
写真を撮ってもいいですか？,Can I take a picture?
静かにしてください。,Please be quiet.
気をつけて。,Be careful.
急いでください。,Please hurry.
どうしたの？,What's wrong?
信じられません。,I can't believe it.
それは残念です。,That's too bad.
お大事に。,Take care.
何歳ですか？,How old are you?
学生ですか？,Are you a student?
今日は何曜日ですか？,What day is it today?
明日は休みです。,Tomorrow is a day off.
この近くに駅はありますか？,Is there a station near here?
写真を見せてください。,Please show me the photo.
それをください。,I'll take that.
うれしいです。,I'm happy.
悲しいです。,I'm sad.
寒いですね。,"It's cold, isn't it?"
暑いですね。,"It's hot, isn't it?"
眠いです。,I'm sleepy.
びっくりしました。,I was surprised.
楽しかったです。,It was fun.
面白かったです。,It was interesting.
疲れましたか？,Are you tired?
忙しいですか？,Are you busy?
時間がありますか？,Do you have time?
今、どこですか？,Where are you now?
ちょっと待ってください。,Please wait a moment.
急に雨が降りました。,It suddenly rained.
電車が遅れています。,The train is delayed.
渋滞しています。,There is a traffic jam.
今日は休みですか？,Is today a day off?
明日は学校です。,I have school tomorrow.
友達に会います。,I will meet my friend.
映画を見に行きます。,I will go to see a movie.
買い物に行きます。,I will go shopping.
家にいます。,I will stay home.
掃除をします。,I will clean.
勉強します。,I will study.
運動します。,I will exercise.
寝ます。,I will sleep.
起きます。,I will wake up.
シャワーを浴びます。,I will take a shower.
朝ごはんを食べます。,I will eat breakfast.
昼ごはんを食べます。,I will eat lunch.
晩ごはんを食べます。,I will eat dinner.
テレビを見ます。,I will watch TV.
本を読みます。,I will read a book.
音楽を聴きます。,I will listen to music.
